1552917259
= Start time (s)
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
2.581560000000000059e+02 1.019201108058698235e-12 3.017563195845118784e-12 8.880005427812018293e-14
2.595779999999999745e+02 1.084721071645255996e-12 2.666302508641527069e-12 7.941025360067369143e-14
2.609839999999999804e+02 1.017088540125610230e-12 2.879242634243328602e-12 7.751563063304600654e-14
2.623899999999999864e+02 9.245611004224385532e-13 2.857402899361649595e-12 7.645809305774006748e-14
2.637970000000000255e+02 1.034963456082726996e-12 2.770043092473195578e-12 8.417341801868205575e-14
2.652189999999999941e+02 1.062881011502925244e-12 2.862863158342721093e-12 8.010486127500368592e-14
2.666250000000000000e+02 1.161161119513087758e-12 2.813925308042808382e-12 8.466385009514229565e-14
2.680470000000000255e+02 9.828010801016251463e-13 2.958514509765475253e-12 8.742326659686230905e-14
2.694529999999999745e+02 1.088361172019158829e-12 2.630408477838352965e-12 8.280896313713620449e-14
2.708750000000000000e+02 1.064701170110093909e-12 2.719082988281162905e-12 8.154558300312031438e-14
2.722810000000000059e+02 9.209210000485357206e-13 2.629903022785540223e-12 8.532639249022103134e-14
2.736870000000000118e+02 1.026481200386286652e-12 2.817363529972194414e-12 7.479600435105621115e-14
2.750939999999999941e+02 1.161161011092870510e-12 2.812071105487423672e-12 8.221092399505677828e-14
2.765000000000000000e+02 1.071980937177030579e-12 2.942942981323803942e-12 6.890409060380034423e-14
2.779220000000000255e+02 1.168441320260893423e-12 2.771862817399495249e-12 8.444086358957991756e-14
2.793279999999999745e+02 1.021021158245649652e-12 2.855582957594915428e-12 8.059978601421616262e-14
2.807339999999999804e+02 1.082901129878521829e-12 2.902902961413045269e-12 7.529805094328920201e-14
2.821399999999999864e+02 1.110201449001924079e-12 2.719083205121597402e-12 6.501549786822741206e-14
2.835620000000000118e+02 1.124761199976231918e-12 2.600782219794317562e-12 8.690227357166513400e-14
2.849689999999999941e+02 1.130221133696651670e-12 2.786422785214237585e-12 9.160336063903512516e-14
2.863750000000000000e+02 1.041041059780811739e-12 2.826462588284561761e-12 8.383847408628339326e-14
2.877810000000000059e+02 1.041041059780811739e-12 3.032662662660889907e-12 8.175258430290210931e-14
2.892500000000000000e+02 9.682411122868828102e-13 2.901048975698095056e-12 8.109594403339984159e-14
2.906560000000000059e+02 9.813382745305077037e-13 2.813723429598291581e-12 8.615800266157172538e-14
2.920779999999999745e+02 1.150241360492465503e-12 2.895622977505674100e-12 8.026608891431585846e-14
2.934839999999999804e+02 9.366511472680416617e-13 2.960367844959121975e-12 8.349118380164555209e-14
2.948899999999999864e+02 1.022840991592166571e-12 2.813722995917422587e-12 8.344976050239302778e-14
2.962970000000000255e+02 8.645009079259746709e-13 2.839202831173004427e-12 8.510986376384852004e-14
2.977189999999999941e+02 9.882607969816104010e-13 2.849146049296868988e-12 9.004055097003305086e-14
2.991250000000000000e+02 1.081081296532004909e-12 2.960368061799556472e-12 7.947298824887913393e-14
3.005310000000000059e+02 1.006363286974731874e-12 2.811903054150688419e-12 8.376404360714226338e-14
3.019529999999999745e+02 1.127913517792733522e-12 2.862862724661852099e-12 7.807560072634403547e-14
3.033589999999999804e+02 1.119301266255812166e-12 2.899195640504448335e-12 8.339610604738215138e-14
3.047649999999999864e+02 9.937212728031163955e-13 2.569842776078967717e-12 7.501924157837097651e-14
3.061870000000000118e+02 1.068341053643562244e-12 2.925147537385930363e-12 8.217636505080880283e-14
3.075939999999999941e+02 1.115661274302126582e-12 2.779143018147300914e-12 8.435416129709896738e-14
3.090149999999999864e+02 1.070161320670948157e-12 2.740922940003276409e-12 7.812026985585043826e-14
3.104220000000000255e+02 1.046501101921448740e-12 2.724542596740930911e-12 8.694335128147517855e-14
3.118279999999999745e+02 1.036751088624721095e-12 2.866502825035754931e-12 8.342498648275173401e-14
3.132339999999999804e+02 1.031941025686489155e-12 2.771289924971553909e-12 7.865543882445286128e-14
3.146399999999999864e+02 1.033176257221601890e-12 2.753662966051284577e-12 8.795659242177150672e-14
3.160620000000000118e+02 1.028301033732803571e-12 2.693602936185146568e-12 9.073509765799084303e-14
3.174689999999999941e+02 1.086541338672641910e-12 2.819486180985486534e-12 7.404679354481441544e-14
3.188750000000000000e+02 1.058201052825391564e-12 2.793702335440739759e-12 8.574879088035780583e-14
3.202810000000000059e+02 1.041041168201028988e-12 2.919586230762383217e-12 9.073424384878001070e-14
3.217029999999999745e+02 1.077441196158102077e-12 2.812071322327858169e-12 8.177734477001624702e-14
3.231089999999999804e+02 1.046501210341665988e-12 2.882882951457665932e-12 8.807080634437927658e-14
3.245149999999999864e+02 9.227408333950526398e-13 2.804656680510664302e-12 9.260811789733175425e-14
3.259370000000000118e+02 1.250341410269362186e-12 2.850998950809646715e-12 7.547719502350169751e-14
3.273439999999999941e+02 1.035581126060391988e-12 2.857403116202084092e-12 8.074911453468530675e-14
3.287500000000000000e+02 1.102921139833901165e-12 2.808364001419261236e-12 8.636106017595110429e-14
3.301720000000000255e+02 1.124338361128962571e-12 2.904722469498910442e-12 8.660893589763560274e-14
3.315779999999999745e+02 9.518608774447545606e-13 2.748202923910647577e-12 7.540955436046575810e-14
3.329839999999999804e+02 9.591412950329947229e-13 3.061243532970214787e-12 8.915979933521445133e-14
3.343899999999999864e+02 9.919011141959477307e-13 2.850999384490515709e-12 8.456478789789501072e-14
3.357970000000000255e+02 9.809810299146737300e-13 2.882882517776796938e-12 8.860345454293067080e-14
3.372189999999999941e+02 1.090181005365675748e-12 2.912171805785623846e-12 7.832088791534172478e-14
3.386250000000000000e+02 1.110038927096268502e-12 2.926563071742327438e-12 9.150411548267123329e-14
3.400310000000000059e+02 1.028301142153020820e-12 2.757302849584752913e-12 8.808312559156414312e-14
3.414370000000000118e+02 1.146601151698345422e-12 2.726362972188534073e-12 8.973075375177247404e-14
3.428589999999999804e+02 8.954409479525193838e-13 2.741631140862343941e-12 7.757755212962208491e-14
3.442649999999999864e+02 1.017380949451529570e-12 2.832462346266662045e-12 8.032815948869065359e-14
3.456720000000000255e+02 1.013741065918061235e-12 2.915642770620618940e-12 8.522139428607938827e-14
3.470939999999999941e+02 1.059240911129022411e-12 2.791680948910357785e-12 8.809299860759733924e-14
3.485000000000000000e+02 9.191009498615843043e-13 2.823193501894083468e-12 8.794420541195085983e-14
3.499060000000000059e+02 1.051961035641868492e-12 2.862121564056741008e-12 8.683589329365470899e-14
3.513120000000000118e+02 1.013740957497843986e-12 2.824642863358262090e-12 8.795926904588483031e-14
3.527339999999999804e+02 1.075621145971150661e-12 2.643383775757790488e-12 8.789730011546370569e-14
3.541399999999999864e+02 1.064701170110093909e-12 2.797242038693470434e-12 8.491165805419101376e-14
3.555470000000000255e+02 1.035581234480609236e-12 2.897442919272408268e-12 7.331990375079866507e-14
3.569529999999999745e+02 1.081081188111787661e-12 2.549822332442719386e-12 7.981952636825981329e-14
3.583750000000000000e+02 1.055601136015771324e-12 2.804656463670229805e-12 8.312762370815685031e-14
3.597810000000000059e+02 9.300209257226410564e-13 2.699062978325783568e-12 7.948393869082123753e-14
3.611870000000000118e+02 1.039221009593860323e-12 2.950223182071609607e-12 8.629924032332869643e-14
3.626089999999999804e+02 9.955409977294160662e-13 2.688143110884944065e-12 8.955669864550708237e-14
3.640149999999999864e+02 9.652510995356022860e-13 2.771862817399495249e-12 8.088632709587692537e-14
3.654370000000000118e+02 1.070713396417177776e-12 2.797343086335946083e-12 7.522374243689247675e-14
3.668589999999999804e+02 1.102921248254118414e-12 2.558113876977019530e-12 8.117997647803104622e-14
3.682649999999999864e+02 9.773410379609881460e-13 3.010418520368873807e-12 8.457161159531809136e-14
3.696720000000000255e+02 1.113613650079170458e-12 2.684502359989737741e-12 8.642304265889938497e-14
3.710779999999999745e+02 1.148421201885296838e-12 2.673582709389332734e-12 8.141808760389959709e-14
3.725000000000000000e+02 1.011921124151327067e-12 3.025247587162827045e-12 8.304463480811666298e-14
3.739220000000000255e+02 1.021021158245649652e-12 2.844662873313641427e-12 7.855628853577906190e-14
3.753279999999999745e+02 1.033761075873440571e-12 2.912002887087150604e-12 7.850283059241194850e-14
3.767339999999999804e+02 1.233961283847451185e-12 2.668122667248695734e-12 8.475640030309108952e-14
3.781399999999999864e+02 1.082900913038087332e-12 2.750899334713619027e-12 8.332587685165940283e-14
3.795470000000000255e+02 9.737011544275198105e-13 2.715442887907260072e-12 8.190349846904851350e-14
3.809839999999999804e+02 1.055601136015771324e-12 2.826900822802680402e-12 7.165584992767717876e-14
3.823899999999999864e+02 1.093821105739578581e-12 2.945538344484299742e-12 8.459512522993387074e-14
3.837970000000000255e+02 9.581010030484948814e-13 2.686322735437340903e-12 7.783767255959209153e-14
3.852189999999999941e+02 1.050141093875134324e-12 2.780962959914035082e-12 6.708448087398150017e-14
3.866250000000000000e+02 1.057421186202722740e-12 2.857402899361649595e-12 8.285855183400026025e-14
3.880310000000000059e+02 9.718811042405683942e-13 2.713825041425477202e-12 8.261975630551032790e-14
3.894370000000000118e+02 1.095641047506312749e-12 2.826901473323983893e-12 7.945988973138279343e-14
3.908439999999999941e+02 9.227409418152698883e-13 2.826463238805865252e-12 7.929864853954346482e-14
3.922649999999999864e+02 1.004640923403521402e-12 2.919586447602817714e-12 8.394533576290899579e-14
3.936720000000000255e+02 1.101101198067166997e-12 3.075297395210840889e-12 7.974523819065382213e-14
3.950779999999999745e+02 1.164801328307207839e-12 2.726800556185349222e-12 8.386333619735120148e-14
3.964839999999999804e+02 1.108381507235189911e-12 2.611871656454933799e-12 8.622959388627365884e-14
3.979060000000000059e+02 1.130221242116868918e-12 2.708162687159454407e-12 8.204986576233405660e-14
3.993120000000000118e+02 1.111826234377610856e-12 2.749045348998668814e-12 8.272213887191084969e-14
4.007339999999999804e+02 9.500410440982376414e-13 2.815542937684156755e-12 8.424262399860452111e-14
4.021399999999999864e+02 1.002788563991829918e-12 2.826463021965430755e-12 8.639828896804882530e-14
4.035470000000000255e+02 1.041041276621246237e-12 2.786423002054672082e-12 8.497966463546016702e-14
