ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			184
Number of stored cycles			184
Printed start cycle			1
Printed end cycle			184
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.4506E-010	max:	2.52616E-010	
'0/1'	44.00	min:	6.1708E-012	max:	7.24187E-012	
'0/2'	28.00	min:	7.35579E-012	max:	7.6642E-012	
'0/3'	32.00	min:	4.26812E-010	max:	4.36926E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
132	2/22/2019	3:30:04:70 PM	2249.7	2.48767E-010	6.90654E-012	7.63557E-012	4.35392E-010	
133	2/22/2019	3:30:07:15 PM	2252.16	2.50806E-010	6.90357E-012	7.62374E-012	4.36269E-010	
134	2/22/2019	3:30:09:59 PM	2254.59	2.51733E-010	6.65555E-012	7.64639E-012	4.36926E-010	
135	2/22/2019	3:30:12:04 PM	2257.05	2.49886E-010	7.02128E-012	7.56492E-012	4.35429E-010	
136	2/22/2019	3:30:14:50 PM	2259.5	2.50065E-010	7.24187E-012	7.56251E-012	4.36051E-010	
137	2/22/2019	3:30:16:95 PM	2261.95	2.4988E-010	6.81348E-012	7.54743E-012	4.35554E-010	
138	2/22/2019	3:30:19:39 PM	2264.39	2.50978E-010	7.0324E-012	7.59999E-012	4.36789E-010	
139	2/22/2019	3:30:21:84 PM	2266.84	2.51919E-010	6.72265E-012	7.57838E-012	4.35566E-010	
140	2/22/2019	3:30:24:29 PM	2269.3	2.52616E-010	6.73247E-012	7.58883E-012	4.3676E-010	
141	2/22/2019	3:30:26:75 PM	2271.75	2.50429E-010	7.01516E-012	7.60899E-012	4.35118E-010	
142	2/22/2019	3:30:29:20 PM	2274.2	2.49509E-010	7.18774E-012	7.61881E-012	4.35865E-010	
143	2/22/2019	3:30:39:28 PM	2284.28	2.50992E-010	6.70745E-012	7.63817E-012	4.36785E-010	
144	2/22/2019	3:39:30:64 PM	2815.64	2.49323E-010	6.79698E-012	7.52108E-012	4.31265E-010	
145	2/22/2019	3:39:33:10 PM	2818.11	2.50806E-010	6.83628E-012	7.54079E-012	4.32093E-010	
146	2/22/2019	3:39:35:56 PM	2820.56	2.50436E-010	6.79346E-012	7.53294E-012	4.32084E-010	
147	2/22/2019	3:39:38:01 PM	2823.01	2.47792E-010	6.59604E-012	7.58505E-012	4.33228E-010	
148	2/22/2019	3:39:40:45 PM	2825.45	2.50436E-010	6.67779E-012	7.53681E-012	4.32821E-010	
