ASCII SAMPLE CYCLES :			ar_o2_co2_co_disc.mdc
DATE :	2/25/2019	TIME :	10:43:51 AM
CONVERTED CYCLES :			3372
Number of stored cycles			3372
Printed start cycle			1
Printed end cycle			3372
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	3.09977E-010	max:	3.14889E-010	
'0/1'	44.00	min:	5.34979E-012	max:	5.72313E-012	
'0/2'	28.00	min:	7.61571E-012	max:	7.76286E-012	
'0/3'	32.00	min:	4.99929E-010	max:	5.04661E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
153	2/25/2019	11:42:40:26 AM	3529.27	2.62596E-010	6.15226E-012	7.32882E-012	4.36629E-010	
154	2/25/2019	11:42:42:71 AM	3531.72	2.63634E-010	5.83825E-012	7.25814E-012	4.35252E-010	
155	2/25/2019	11:42:45:17 AM	3534.17	2.61354E-010	6.42902E-012	7.2556E-012	4.35507E-010	
156	2/25/2019	11:42:47:62 AM	3536.62	2.60909E-010	5.96578E-012	7.23784E-012	4.35121E-010	
157	2/25/2019	11:42:50:07 AM	3539.08	2.61576E-010	6.12779E-012	7.24501E-012	4.35027E-010	
158	2/25/2019	11:42:52:51 AM	3541.52	2.61354E-010	6.37656E-012	7.27881E-012	4.3548E-010	
159	2/25/2019	11:42:54:98 AM	3543.98	2.61706E-010	6.12872E-012	7.2914E-012	4.35261E-010	
160	2/25/2019	11:42:57:43 AM	3546.44	2.62744E-010	6.08497E-012	7.3009E-012	4.36827E-010	
161	2/25/2019	11:42:59:89 AM	3548.89	2.63801E-010	6.13743E-012	7.29126E-012	4.37053E-010	
162	2/25/2019	11:43:02:34 AM	3551.34	2.62021E-010	6.0353E-012	7.28574E-012	4.36754E-010	
163	2/25/2019	11:43:04:79 AM	3553.8	2.63337E-010	6.06959E-012	7.379E-012	4.36874E-010	
164	2/25/2019	11:43:07:25 AM	3556.25	2.61706E-010	5.9947E-012	7.27702E-012	4.36957E-010	
165	2/25/2019	11:43:09:70 AM	3558.7	2.62392E-010	6.08479E-012	7.32908E-012	4.36528E-010	
166	2/25/2019	11:47:48:46 AM	3837.47	2.61372E-010	5.82138E-012	7.35101E-012	4.34076E-010	
