Start time (s) =
1552988426
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
2.427969999999999970e+02 2.712898482248871090e-11 1.614948105799207667e-11 1.434858525398152729e-12
2.442030000000000030e+02 2.706780632966143685e-11 1.640714647477281574e-11 1.459296333945758750e-12
2.456100000000000136e+02 2.733845094748943438e-11 1.635895412188670406e-11 1.462019199281738846e-12
2.470320000000000107e+02 2.771845947213691375e-11 1.614763184276668539e-11 1.469192064014468446e-12
2.484530000000000030e+02 2.651726234426110551e-11 1.638490905453426905e-11 1.450350907081232599e-12
2.498600000000000136e+02 2.717532275597900338e-11 1.633485534335843425e-11 1.470148438750817910e-12
2.512659999999999911e+02 2.707893458075982807e-11 1.634041513209893992e-11 1.435538645420952886e-12
2.526879999999999882e+02 2.781114054328792662e-11 1.632002345763883255e-11 1.434772765006309125e-12
2.540939999999999941e+02 2.710117720516880269e-11 1.659066807546683009e-11 1.440649140781180559e-12
2.555000000000000000e+02 2.660808726129282320e-11 1.619953476916791146e-11 1.472968990702538949e-12
2.569069999999999823e+02 2.773514404252885868e-11 1.616616736310749758e-11 1.458339091847671298e-12
2.583279999999999745e+02 2.704000738595890851e-11 1.623290390995180132e-11 1.467326152075620893e-12
2.597350000000000136e+02 2.734957052497044572e-11 1.652392979389905037e-11 1.473685756758769116e-12
2.611410000000000196e+02 2.719385827631981556e-11 1.609943255098666981e-11 1.472015434891837948e-12
2.625629999999999882e+02 2.727913207822840747e-11 1.628109452811443703e-11 1.442196188861100126e-12
2.639850000000000136e+02 2.828013691280606423e-11 1.655544104584016907e-11 1.456134691990573771e-12
2.653910000000000196e+02 2.733845094748943438e-11 1.669076682420111979e-11 1.472747162938048415e-12
2.667970000000000255e+02 2.739406271268229887e-11 1.646646360931036668e-11 1.470061052055715578e-12
2.682029999999999745e+02 2.780372806987507772e-11 1.666109784859148846e-11 1.458875446662399877e-12
2.696100000000000136e+02 2.743669874627485683e-11 1.677603889138623572e-11 1.442171360631350208e-12
2.710319999999999823e+02 2.733659652809361518e-11 1.652764210213764073e-11 1.461176448933065863e-12
2.724379999999999882e+02 2.763318740495179782e-11 1.612909111825544528e-11 1.476291094579251784e-12
2.738439999999999941e+02 2.769250974365977669e-11 1.643494888792229602e-11 1.471632711524950565e-12
2.752500000000000000e+02 2.711415467149258518e-11 1.632187961175812774e-11 1.481023637062151010e-12
2.766720000000000255e+02 2.771104699872406485e-11 1.642383451461171262e-11 1.455063391823940844e-12
2.780779999999999745e+02 2.791124623091612023e-11 1.661476511927162392e-11 1.476173675483971603e-12
2.795000000000000000e+02 2.807066384891143684e-11 1.639821438359501116e-11 1.506631299753868891e-12
2.809069999999999823e+02 2.768509553552345182e-11 1.649798180014538929e-11 1.479452302853567769e-12
2.823279999999999745e+02 2.815964302016471521e-11 1.630334235669383958e-11 1.460682703263715965e-12
2.837350000000000136e+02 2.784451141879529246e-11 1.636265775650791454e-11 1.492468908875776989e-12
2.851410000000000196e+02 2.751826023994485837e-11 1.664812905588508585e-11 1.481197109409748691e-12
2.865470000000000255e+02 2.787046461671938147e-11 1.679827804634825839e-11 1.483794640974589463e-12
