Start time (s) =
1553508139
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
1.190780000000000030e+02 2.258750000000000000e+03 9.149025287369383364e-12 2.011270490431815716e-11 2.081774856665941087e-11
1.199530000000000030e+02 2.257812500000000000e+03 9.356597094334340170e-12 2.021530859375175737e-11 2.094625861648324872e-11
1.208430000000000035e+02 2.257343750000000000e+03 9.221487289046148561e-12 2.035410034961770975e-11 2.045873713496515478e-11
1.217180000000000035e+02 2.256406250000000000e+03 9.428448473347561531e-12 2.034318373478338771e-11 2.089805932470323313e-11
1.225930000000000035e+02 2.254843750000000000e+03 8.873292725586345853e-12 2.049472917764472157e-11 2.072378900430660309e-11
1.234680000000000035e+02 2.254843750000000000e+03 9.335105605190463507e-12 2.042351184006196974e-11 2.075655619604432900e-11
1.243589999999999947e+02 2.254843750000000000e+03 9.267548534142022731e-12 2.055369069386969727e-11 2.091970173478951978e-11
1.252339999999999947e+02 2.254218750000000000e+03 9.185873416084344711e-12 2.008573515843714574e-11 2.019810881048744733e-11
1.261250000000000000e+02 2.252500000000000000e+03 9.389758068301112814e-12 2.008634578110068958e-11 2.049951874916189354e-11
1.270000000000000000e+02 2.250625000000000000e+03 9.550045650119631802e-12 2.029207184228720706e-11 2.098233045644271044e-11
1.278900000000000006e+02 2.250000000000000000e+03 9.368878936544255964e-12 2.009862762331060537e-11 2.029313002360755291e-11
1.287649999999999864e+02 2.250468750000000000e+03 9.162537048523766714e-12 2.023987054344811298e-11 2.031475855590603175e-11
1.296399999999999864e+02 2.247187500000000000e+03 9.195085665103519545e-12 2.017599802506264695e-11 2.038910013046901781e-11
1.305310000000000059e+02 2.247031250000000000e+03 9.262023439871036601e-12 2.010714164613069954e-11 2.066668190747744660e-11
1.314219999999999970e+02 2.245937500000000000e+03 9.303168478635992500e-12 2.007995679453866700e-11 2.079363591034333325e-11
1.322969999999999970e+02 2.242187500000000000e+03 8.916892398069808934e-12 2.032094111037441309e-11 2.068571702817934010e-11
1.331870000000000118e+02 2.242187500000000000e+03 9.027433314767741024e-12 1.953620425154678486e-11 2.046429171953523252e-11
1.340780000000000030e+02 2.242343750000000000e+03 9.177272657090451702e-12 1.974257909931331767e-11 2.031172625927002429e-11
1.349530000000000030e+02 2.240468750000000000e+03 9.190171193496077251e-12 2.022697287440422542e-11 2.038910880408639770e-11
1.358280000000000030e+02 2.240156250000000000e+03 8.733277122308091833e-12 1.988716830103598454e-11 2.058868006638014947e-11
1.367179999999999893e+02 2.240000000000000000e+03 8.818022700918248802e-12 1.991255077493647718e-11 2.044451587190909692e-11
1.375929999999999893e+02 2.239843750000000000e+03 8.802053703960144304e-12 1.981367847569970309e-11 2.066238499742745205e-11
1.384679999999999893e+02 2.240000000000000000e+03 8.980761447008323017e-12 1.998133429548243356e-11 2.086503886333801461e-11
1.393590000000000089e+02 2.239843750000000000e+03 8.849339663830058100e-12 1.981302448494925983e-11 2.054338817114587101e-11
1.402340000000000089e+02 2.238437500000000000e+03 8.602471165963798683e-12 1.990333765855556436e-11 2.062615356290820046e-11
1.411090000000000089e+02 2.239687500000000000e+03 8.822321345691719330e-12 1.948943090246402221e-11 2.047323248433041698e-11
1.420149999999999864e+02 2.239062500000000000e+03 9.181573036587398207e-12 1.980324237926822661e-11 2.055944824108646429e-11
1.429060000000000059e+02 2.237812500000000000e+03 8.848722969634348345e-12 1.961652888737841494e-11 2.034366078373928133e-11
1.437969999999999970e+02 2.237656250000000000e+03 9.065507025618479986e-12 1.969190956130351111e-11 2.071826911420604489e-11
1.446870000000000118e+02 2.237343750000000000e+03 9.047086864388820260e-12 1.958400108748037383e-11 2.080178564123347229e-11
1.455780000000000030e+02 2.237500000000000000e+03 9.094367620088306126e-12 1.985544020866036874e-11 2.020732366159183613e-11
1.464840000000000089e+02 2.237343750000000000e+03 8.721603300676505910e-12 1.986403402876035784e-11 2.056289687135670619e-11
1.473750000000000000e+02 2.236718750000000000e+03 8.800208825543442970e-12 1.979034471022433905e-11 2.046279118372851258e-11
1.482649999999999864e+02 2.235312500000000000e+03 8.840124812725669301e-12 1.918585429416808097e-11 2.082327713037734895e-11
1.491560000000000059e+02 2.235625000000000000e+03 9.203681219926984625e-12 1.966967214106496442e-11 2.062371107225402511e-11
1.500469999999999970e+02 2.235312500000000000e+03 9.032958409038727154e-12 1.986894676564432416e-11 2.075656140021475693e-11
1.509370000000000118e+02 2.235000000000000000e+03 8.937157437716169994e-12 1.958461691431434559e-11 2.047508169955580826e-11
1.518429999999999893e+02 2.235156250000000000e+03 8.765209912053872898e-12 1.951890211959739219e-11 1.983032661689865250e-11
1.527340000000000089e+02 2.234687500000000000e+03 8.708709968441308291e-12 1.967365853561275912e-11 2.086259116851341133e-11
1.536250000000000000e+02 2.234843750000000000e+03 8.755996795672960076e-12 1.947565199389433843e-11 2.071392189717524701e-11
1.545000000000000000e+02 2.234843750000000000e+03 9.026202528461535479e-12 1.939608890166866217e-11 2.033566891268545618e-11
1.553899999999999864e+02 2.235000000000000000e+03 9.082086645240128320e-12 1.955820574939259870e-11 2.056166695241223863e-11
1.562810000000000059e+02 2.232968750000000000e+03 8.890487304680227965e-12 1.931502006946583805e-11 2.045603617051305889e-11
1.571560000000000059e+02 2.232343750000000000e+03 8.841970558504108624e-12 1.986554497290793364e-11 2.075327062978082893e-11
1.580310000000000059e+02 2.232500000000000000e+03 8.864694568677666808e-12 1.948390580819303608e-11 2.057118711484839935e-11
1.589219999999999970e+02 2.231875000000000000e+03 8.926721341284693523e-12 1.927755871600211890e-11 2.047850951314433843e-11
1.598120000000000118e+02 2.230625000000000000e+03 8.794070506523699038e-12 1.930201831701339188e-11 2.040998273167282662e-11
1.607030000000000030e+02 2.232031250000000000e+03 8.598170786466852178e-12 1.961652541793146298e-11 2.073740484886954505e-11
1.615780000000000030e+02 2.226406250000000000e+03 9.075949193582122376e-12 1.944846193813187796e-11 2.033514849564266314e-11
1.624679999999999893e+02 2.224375000000000000e+03 9.498452371858867593e-12 1.974183143349517167e-11 2.025791687176869971e-11
1.633429999999999893e+02 2.224843750000000000e+03 1.038093569438736097e-11 1.946082357762168868e-11 2.002062925166026019e-11
1.642179999999999893e+02 2.222656250000000000e+03 1.707044228194121160e-11 1.963681647842996369e-11 2.069909001145564531e-11
1.651090000000000089e+02 2.222656250000000000e+03 1.105645869997617936e-11 1.954917998314709138e-11 2.047262533111382510e-11
1.659840000000000089e+02 2.222656250000000000e+03 9.372565223930706679e-12 2.008266122843771484e-11 2.007068990172999889e-11
1.668750000000000000e+02 2.222343750000000000e+03 9.262022572509298612e-12 2.109578310649506960e-11 2.066882429097027796e-11
1.677500000000000000e+02 2.227500000000000000e+03 9.150869298424346709e-12 2.350128425199216053e-11 2.028592918645877319e-11
1.686399999999999864e+02 2.236250000000000000e+03 9.187102467667074279e-12 2.039941653098065188e-11 2.053164409321350803e-11
1.695310000000000059e+02 2.258906250000000000e+03 9.581360010946227135e-12 2.085336764379164265e-11 2.099754051188007509e-11
1.704219999999999970e+02 2.302187500000000000e+03 1.148940144413135300e-11 1.989335779439826979e-11 2.049147657112726506e-11
1.712969999999999970e+02 2.348125000000000000e+03 1.197148456755225965e-11 1.974813888805382334e-11 2.055635869857574960e-11
1.721719999999999970e+02 2.373437500000000000e+03 1.180444370724176295e-11 1.958440180860332447e-11 2.091906682599731226e-11
1.730469999999999970e+02 2.377343750000000000e+03 1.191375730708044145e-11 1.964173268476088197e-11 2.078949859485312857e-11
1.739370000000000118e+02 2.375000000000000000e+03 1.148080849139310189e-11 1.955844687595575948e-11 2.049889945288096982e-11
1.748280000000000030e+02 2.375000000000000000e+03 1.135859462042532186e-11 1.970621062163946391e-11 2.035839205549727637e-11
1.757030000000000030e+02 2.370468750000000000e+03 1.097048146769807886e-11 1.935863101765189498e-11 2.103090791794048897e-11
1.765780000000000030e+02 2.367812500000000000e+03 1.061491346210363673e-11 1.946019387299990910e-11 2.084415279268725385e-11
1.774679999999999893e+02 2.367187500000000000e+03 1.054551671680892255e-11 1.925876645658686215e-11 2.076459143518505357e-11
1.783429999999999893e+02 2.364375000000000000e+03 1.013774654501364836e-11 1.938993930694632439e-11 2.057517524411967003e-11
1.792179999999999893e+02 2.361562500000000000e+03 1.011133884953885342e-11 1.966076780546277547e-11 2.051069730724108808e-11
1.801090000000000089e+02 2.360312500000000000e+03 9.934473382822162080e-12 1.911232283546837607e-11 2.062738001240571606e-11
1.810000000000000000e+02 2.360000000000000000e+03 9.542672207984992383e-12 1.934450516438701584e-11 2.043515703875620204e-11
1.818750000000000000e+02 2.358750000000000000e+03 9.527934864694831418e-12 1.930633951319205011e-11 2.041612365277778451e-11
1.827500000000000000e+02 2.355312500000000000e+03 9.260182898263025209e-12 1.931127827092815608e-11 2.067834271868296270e-11
1.836250000000000000e+02 2.352031250000000000e+03 9.489244459648382701e-12 1.936783719513890389e-11 2.095304658944474596e-11
1.845149999999999864e+02 2.352343750000000000e+03 9.154552116363845471e-12 1.914061444063808182e-11 2.066975236802992555e-11
1.854060000000000059e+02 2.349843750000000000e+03 9.216577154247396209e-12 1.916237481192073489e-11 2.065337310896975254e-11
1.862810000000000059e+02 2.348125000000000000e+03 9.001027354016422066e-12 1.905340989150072772e-11 2.063535800567173339e-11
1.871719999999999970e+02 2.347343750000000000e+03 9.197541166183764716e-12 1.878995223303370210e-11 2.004288922330399458e-11
1.880620000000000118e+02 2.344062500000000000e+03 9.198769350404756295e-12 1.921246148284261324e-11 2.044019641045391467e-11
1.889370000000000118e+02 2.342500000000000000e+03 8.988130552334272494e-12 1.880469911730298094e-11 2.056350922874372600e-11
1.898280000000000030e+02 2.340000000000000000e+03 9.034184858536242757e-12 1.907834480674441835e-11 2.052855628542626931e-11
1.907030000000000030e+02 2.337343750000000000e+03 8.740026931353117590e-12 1.876568692105173852e-11 2.025481865564060513e-11
1.915780000000000030e+02 2.334843750000000000e+03 9.040330116449890596e-12 1.919388779858532956e-11 2.058848404262736409e-11
1.924679999999999893e+02 2.332500000000000000e+03 8.657124496436185979e-12 1.857537040850232302e-11 2.026320951309390495e-11
1.933429999999999893e+02 2.330312500000000000e+03 8.894784214730222516e-12 1.899060075860603547e-11 2.052420559894851948e-11
1.942340000000000089e+02 2.329687500000000000e+03 8.958037436834764833e-12 1.880461238112918210e-11 2.060207733578511835e-11
1.951250000000000000e+02 2.328593750000000000e+03 8.812496739285524683e-12 1.875004318474537968e-11 2.033935520007190689e-11
1.960000000000000000e+02 2.326562500000000000e+03 8.697653708367170111e-12 1.886672068573957972e-11 2.080976016505253767e-11
1.968899999999999864e+02 2.325000000000000000e+03 9.056907133986324965e-12 1.896156148761818372e-11 2.051063138774900096e-11
1.977649999999999864e+02 2.322500000000000000e+03 8.733273652861139880e-12 1.881510398871188983e-11 2.050013457599586530e-11
