Start time (s) =
1547808732
'Reltime', '44.00[A]'
5.293800000000000239e+01 2.200772203364564916e-11
5.306300000000000239e+01 2.126769767241132314e-11
5.318800000000000239e+01 2.043471988844025589e-11
5.332900000000000063e+01 2.074931892970255376e-11
5.345400000000000063e+01 2.198627391258867192e-11
5.357900000000000063e+01 2.065637244585971644e-11
5.371900000000000119e+01 2.097096975239853833e-11
5.384400000000000119e+01 2.183254618759455923e-11
5.398499999999999943e+01 2.149292202546781994e-11
5.410999999999999943e+01 2.201487082909014958e-11
5.425000000000000000e+01 2.089496804746904246e-11
5.439099999999999824e+01 2.212212357743936764e-11
5.451599999999999824e+01 2.134634656536515962e-11
5.464099999999999824e+01 2.015587176329436403e-11
5.478199999999999648e+01 2.118904704473401068e-11
5.490699999999999648e+01 2.069926868797367092e-11
5.503199999999999648e+01 2.123909902118636950e-11
5.515699999999999648e+01 2.085299641296778361e-11
5.529699999999999704e+01 2.079222037598693618e-11
5.542199999999999704e+01 2.177177362006066375e-11
5.554699999999999704e+01 2.070642442231207525e-11
5.568800000000000239e+01 1.979122421502665929e-11
5.582900000000000063e+01 2.155369632772519140e-11
5.595400000000000063e+01 2.178964474131017681e-11
5.607900000000000063e+01 2.129987158872026498e-11
5.621900000000000119e+01 2.061347099957533402e-11
5.634400000000000119e+01 2.110324935633567378e-11
5.646900000000000119e+01 2.053481863717454559e-11
5.660999999999999943e+01 2.022737012608022411e-11
5.673499999999999943e+01 2.161804762979002703e-11
5.685999999999999943e+01 2.212212357743936764e-11
5.700000000000000000e+01 2.102817225901887355e-11
5.712500000000000000e+01 2.147147563913431867e-11
5.725000000000000000e+01 2.043829862297119604e-11
5.739099999999999824e+01 2.043114462335626769e-11
5.751599999999999824e+01 2.161447062998256285e-11
5.765699999999999648e+01 2.093522230572908427e-11
5.778199999999999648e+01 2.205062347993003158e-11
5.790699999999999648e+01 2.176819835497667555e-11
5.804699999999999704e+01 2.085299467824430764e-11
5.818800000000000239e+01 2.189689748965939486e-11
5.831300000000000239e+01 2.052052104628554474e-11
5.843800000000000239e+01 2.100314713815443213e-11
5.857900000000000063e+01 2.139282154201005426e-11
5.870400000000000063e+01 2.148934676038383174e-11
5.882900000000000063e+01 2.047047080455666190e-11
5.896900000000000119e+01 1.983054519205662558e-11
5.910999999999999943e+01 2.102459699393488535e-11
5.923499999999999943e+01 2.017732335379829323e-11
5.935999999999999943e+01 2.114972259825709244e-11
5.950000000000000000e+01 2.088159506419273725e-11
5.962500000000000000e+01 2.221149653092169274e-11
5.975000000000000000e+01 2.042399409318829129e-11
5.989099999999999824e+01 2.180037400600909336e-11
6.001599999999999824e+01 2.057414828782189176e-11
6.014099999999999824e+01 2.136779815586908882e-11
6.026599999999999824e+01 2.042042403227473102e-11
6.040699999999999648e+01 2.186829710371096525e-11
6.053199999999999648e+01 2.121765090012939226e-11
6.065699999999999648e+01 2.151079835088776093e-11
6.079699999999999704e+01 2.056342075784645118e-11
6.092199999999999704e+01 1.969469379248245389e-11
6.104699999999999704e+01 2.141784666287449568e-11
6.118800000000000239e+01 2.086014867785923599e-11
6.131300000000000239e+01 2.245817073975864275e-11
6.143800000000000239e+01 2.168954772729936309e-11
6.157900000000000063e+01 2.234019913505136401e-11
6.170400000000000063e+01 2.055627022767847478e-11
6.182900000000000063e+01 2.130344511908077720e-11
6.196900000000000119e+01 2.142499545831899610e-11
6.209400000000000119e+01 2.146789690460337852e-11
6.221900000000000119e+01 2.123194675629491712e-11
6.235999999999999943e+01 2.053124337209055739e-11
6.248499999999999943e+01 1.976619735943874190e-11
6.260999999999999943e+01 2.098527081273449113e-11
6.275000000000000000e+01 2.062061979501983444e-11
6.287500000000000000e+01 2.085299467824430764e-11
6.300000000000000000e+01 2.086372220821974821e-11
6.312500000000000000e+01 2.123909728646289352e-11
6.326599999999999824e+01 2.087087273838772461e-11
6.339099999999999824e+01 2.154297053247322680e-11
6.351599999999999824e+01 2.094687444331722048e-11
6.365699999999999648e+01 2.250821924676404961e-11
6.378199999999999648e+01 2.037752258599034860e-11
6.390699999999999648e+01 2.091019718486464285e-11
6.404699999999999704e+01 2.120692683960090363e-11
6.417199999999999704e+01 2.098884434309500335e-11
6.429699999999999704e+01 2.093164530592162009e-11
6.443800000000000239e+01 2.146432337424286629e-11
6.456300000000000239e+01 1.943014325822556287e-11
6.468800000000000239e+01 2.098169554765050293e-11
6.482899999999999352e+01 2.111397168214068643e-11
6.495399999999999352e+01 2.151079661616428496e-11
6.507899999999999352e+01 2.052422641563023120e-11
6.521899999999999409e+01 2.154654579755721500e-11
6.534399999999999409e+01 2.045974500930469731e-11
6.546899999999999409e+01 2.036679679073838400e-11
6.560999999999999943e+01 2.139997207217803066e-11
6.573499999999999943e+01 2.191119854999534766e-11
6.585999999999999943e+01 2.088159853363968921e-11
6.600000000000000000e+01 2.129272279327576456e-11
6.612500000000000000e+01 2.094594636625757289e-11
6.626600000000000534e+01 2.088874559436071365e-11
6.639100000000000534e+01 2.276204745521592798e-11
6.651600000000000534e+01 2.114257380281259202e-11
6.665699999999999648e+01 2.097454675220600251e-11
6.678199999999999648e+01 2.026311930747315415e-11
6.690699999999999648e+01 2.109609709144422141e-11
6.704699999999999704e+01 2.086014520841228403e-11
6.717199999999999704e+01 2.101744646376690895e-11
6.729699999999999704e+01 2.172171990888482895e-11
6.743800000000000239e+01 1.961962189933608158e-11
6.756300000000000239e+01 2.092449651047711967e-11
6.768800000000000239e+01 2.407407433124841845e-11
6.782899999999999352e+01 2.854282608877323213e-11
6.796899999999999409e+01 3.021593392160681901e-11
6.809399999999999409e+01 3.029814940602726381e-11
6.821899999999999409e+01 3.165665299342812489e-11
6.835999999999999943e+01 2.955813371841031767e-11
6.848499999999999943e+01 3.065566203663827594e-11
6.862500000000000000e+01 3.122752403883488626e-11
6.875000000000000000e+01 3.042328194924337481e-11
6.887500000000000000e+01 2.959387596090934380e-11
6.901600000000000534e+01 3.038753276785044477e-11
6.914100000000000534e+01 3.080222188422965246e-11
6.926600000000000534e+01 3.193908332255190885e-11
6.940699999999999648e+01 3.157085010085936005e-11
6.953199999999999648e+01 3.188903308082302601e-11
6.967199999999999704e+01 3.226083636342913508e-11
6.979699999999999704e+01 3.002646048466672823e-11
6.993800000000000239e+01 2.988703035056161639e-11
7.006300000000000239e+01 3.011225990778854111e-11
7.018800000000000239e+01 3.065565856719132398e-11
7.032899999999999352e+01 3.049478031202923489e-11
7.045399999999999352e+01 3.006219925771880241e-11
7.057899999999999352e+01 3.073073046033769629e-11
7.071899999999999409e+01 3.120263075695461907e-11
7.084399999999999409e+01 3.187473202048707321e-11
7.096899999999999409e+01 3.049835384238974711e-11
7.109399999999999409e+01 3.012297702942312583e-11
7.123499999999999943e+01 3.157443057011377618e-11
7.135999999999999943e+01 3.170313664369039941e-11
7.148499999999999943e+01 3.136708254247722039e-11
7.162500000000000000e+01 3.025883363316772545e-11
7.176600000000000534e+01 3.120262728750766712e-11
7.189100000000000534e+01 3.096310707828564546e-11
7.203199999999999648e+01 3.056985567462255915e-11
7.215699999999999648e+01 3.169240911371495883e-11
7.229699999999999704e+01 3.046260466099681707e-11
7.242199999999999704e+01 3.098098513842906243e-11
7.254699999999999704e+01 3.039467982857146922e-11
7.268800000000000239e+01 3.225367889436725477e-11
7.281300000000000239e+01 3.085943306446736756e-11
7.293800000000000239e+01 3.115973451484066459e-11
7.306300000000000239e+01 3.056985914406951110e-11
7.320399999999999352e+01 3.005863613569914605e-11
7.332899999999999352e+01 3.151007926804894055e-11
7.345399999999999352e+01 3.214286128927490438e-11
7.359399999999999409e+01 3.089160871549978538e-11
7.371899999999999409e+01 3.108823268260785255e-11
7.384399999999999409e+01 3.179609353587409259e-11
7.398499999999999943e+01 3.014800561973451920e-11
7.412500000000000000e+01 2.951880059831601955e-11
7.425000000000000000e+01 3.093450495761373986e-11
7.439100000000000534e+01 3.123838340779450107e-11
7.451600000000000534e+01 3.033032852650663358e-11
7.465699999999999648e+01 3.074503152067364908e-11
7.478199999999999648e+01 3.063420697668739479e-11
7.490699999999999648e+01 3.238953202866490244e-11
7.504699999999999704e+01 3.196411191286330222e-11
7.517199999999999704e+01 3.013371149829247031e-11
7.529699999999999704e+01 3.116688157556168903e-11
7.542199999999999704e+01 3.048763325130821045e-11
